date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190201,0,1316A,56.0,,,62.0,62.0,15.0,14.0,32.0,32.0,38.0,60.0,34.0,51.0,1.0,1.1
20190201,1,1316A,53.0,,,55.0,58.0,15.0,14.0,25.0,32.0,46.0,60.0,46.0,46.0,0.9,1.1
20190201,2,1316A,56.0,,,62.0,60.0,14.0,14.0,21.0,32.0,50.0,58.0,48.0,48.0,0.9,1.1
20190201,3,1316A,60.0,,,69.0,62.0,13.0,14.0,17.0,32.0,55.0,57.0,50.0,50.0,0.8,1.1
20190201,4,1316A,40.0,,,40.0,58.0,13.0,14.0,16.0,32.0,56.0,56.0,52.0,52.0,0.7,1.1
20190201,5,1316A,44.0,,,44.0,55.0,14.0,14.0,17.0,32.0,53.0,56.0,52.0,52.0,0.8,1.1
20190201,6,1316A,51.0,,,52.0,55.0,15.0,14.0,18.0,32.0,49.0,56.0,52.0,52.0,0.8,1.1
20190201,7,1316A,57.0,,,64.0,56.0,18.0,14.0,23.0,32.0,44.0,56.0,50.0,52.0,1.0,1.1
20190201,8,1316A,59.0,,,68.0,57.0,18.0,15.0,27.0,32.0,42.0,56.0,49.0,52.0,0.8,1.0
20190201,9,1316A,59.0,,,67.0,58.0,20.0,15.0,28.0,32.0,40.0,56.0,49.0,52.0,0.9,1.0
20190201,10,1316A,69.0,,,88.0,61.0,19.0,15.0,31.0,32.0,40.0,56.0,47.0,52.0,1.0,1.0
20190201,11,1316A,76.0,,,102.0,64.0,16.0,15.0,29.0,32.0,48.0,56.0,46.0,52.0,1.0,1.0
20190201,12,1316A,71.0,,,91.0,66.0,12.0,15.0,24.0,32.0,66.0,66.0,48.0,52.0,0.8,1.0
20190201,13,1316A,68.0,,,86.0,68.0,10.0,14.0,21.0,31.0,75.0,75.0,50.0,52.0,0.7,1.0
20190201,14,1316A,61.0,,,71.0,68.0,11.0,14.0,17.0,30.0,83.0,83.0,55.0,55.0,0.7,1.0
20190201,15,1316A,63.0,,,75.0,68.0,13.0,14.0,18.0,29.0,86.0,86.0,60.0,60.0,0.7,1.0
20190201,16,1316A,61.0,,,72.0,69.0,10.0,14.0,19.0,28.0,87.0,87.0,66.0,66.0,0.7,0.9
20190201,17,1316A,66.0,35.0,35.0,82.0,69.0,9.0,14.0,21.0,27.0,86.0,87.0,71.0,71.0,0.8,0.9
20190201,18,1316A,70.0,51.0,43.0,90.0,71.0,9.0,14.0,25.0,26.0,80.0,87.0,76.0,76.0,1.0,0.9
