datetime,year,month,day,hour,O3,O3_24h,O3_8h,O3_8h_24h
2015-01-02 00:00:00,2015,1,2,0,40.0,103.0,43.0,86.0
2015-01-02 01:00:00,2015,1,2,1,11.0,47.0,11.0,36.0
2015-01-02 02:00:00,2015,1,2,2,10.0,47.0,11.0,36.0
2015-01-02 03:00:00,2015,1,2,3,13.0,47.0,11.0,36.0
2015-01-02 04:00:00,2015,1,2,4,15.0,47.0,11.0,36.0
2015-01-02 05:00:00,2015,1,2,5,12.0,47.0,11.0,36.0
2015-01-02 06:00:00,2015,1,2,6,14.0,47.0,11.0,36.0
2015-01-02 07:00:00,2015,1,2,7,13.0,47.0,12.0,36.0
2015-01-02 08:00:00,2015,1,2,8,14.0,47.0,12.0,36.0
2015-01-02 09:00:00,2015,1,2,9,16.0,47.0,13.0,36.0
2015-01-02 10:00:00,2015,1,2,10,18.0,47.0,14.0,36.0
2015-01-02 11:00:00,2015,1,2,11,24.0,46.0,16.0,36.0
2015-01-02 12:00:00,2015,1,2,12,29.0,47.0,17.0,36.0
2015-01-02 13:00:00,2015,1,2,13,33.0,47.0,20.0,36.0
2015-01-02 14:00:00,2015,1,2,14,35.0,46.0,23.0,36.0
2015-01-02 15:00:00,2015,1,2,15,33.0,45.0,25.0,36.0
2015-01-02 16:00:00,2015,1,2,16,34.0,40.0,28.0,36.0
2015-01-02 17:00:00,2015,1,2,17,31.0,36.0,30.0,36.0
2015-01-02 18:00:00,2015,1,2,18,24.0,36.0,30.0,34.0
2015-01-02 19:00:00,2015,1,2,19,22.0,36.0,30.0,33.0
2015-01-02 20:00:00,2015,1,2,20,21.0,36.0,29.0,31.0
2015-01-02 21:00:00,2015,1,2,21,17.0,36.0,27.0,31.0
2015-01-02 22:00:00,2015,1,2,22,12.0,36.0,24.0,31.0
2015-01-02 23:00:00,2015,1,2,23,11.0,36.0,21.0,31.0
2015-01-03 00:00:00,2015,1,3,0,10.0,36.0,19.0,31.0
2015-01-03 01:00:00,2015,1,3,1,10.0,36.0,16.0,31.0
2015-01-03 02:00:00,2015,1,3,2,10.0,36.0,14.0,31.0
2015-01-03 03:00:00,2015,1,3,3,10.0,36.0,13.0,31.0
2015-01-03 04:00:00,2015,1,3,4,10.0,36.0,12.0,31.0
2015-01-03 05:00:00,2015,1,3,5,10.0,36.0,11.0,31.0
2015-01-03 06:00:00,2015,1,3,6,10.0,36.0,10.0,31.0
2015-01-03 07:00:00,2015,1,3,7,11.0,36.0,10.0,31.0
2015-01-03 08:00:00,2015,1,3,8,12.0,36.0,10.0,31.0
2015-01-03 09:00:00,2015,1,3,9,12.0,37.0,11.0,32.0
2015-01-03 10:00:00,2015,1,3,10,14.0,37.0,12.0,32.0
2015-01-03 11:00:00,2015,1,3,11,17.0,37.0,12.0,32.0
2015-01-03 12:00:00,2015,1,3,12,21.0,36.0,13.0,31.0
2015-01-03 13:00:00,2015,1,3,13,26.0,36.0,15.0,31.0
2015-01-03 14:00:00,2015,1,3,14,29.0,35.0,18.0,30.0
2015-01-03 15:00:00,2015,1,3,15,34.0,39.0,20.0,31.0
2015-01-03 16:00:00,2015,1,3,16,32.0,39.0,23.0,31.0
2015-01-03 17:00:00,2015,1,3,17,22.0,36.0,25.0,31.0
2015-01-03 18:00:00,2015,1,3,18,15.0,36.0,25.0,31.0
2015-01-03 19:00:00,2015,1,3,19,11.0,36.0,24.0,30.0
2015-01-03 20:00:00,2015,1,3,20,11.0,36.0,22.0,29.0
2015-01-03 21:00:00,2015,1,3,21,11.0,36.0,21.0,27.0
2015-01-03 22:00:00,2015,1,3,22,10.0,36.0,18.0,26.0
2015-01-03 23:00:00,2015,1,3,23,10.0,36.0,15.0,25.0
2015-01-04 00:00:00,2015,1,4,0,10.0,36.0,13.0,25.0
2015-01-04 12:00:00,2015,1,4,12,12.0,36.0,12.0,25.0
2015-01-04 13:00:00,2015,1,4,13,15.0,36.0,11.0,25.0
2015-01-04 14:00:00,2015,1,4,14,23.0,36.0,13.0,25.0
2015-01-04 15:00:00,2015,1,4,15,38.0,44.0,16.0,25.0
2015-01-04 16:00:00,2015,1,4,16,48.0,49.0,21.0,27.0
2015-01-04 17:00:00,2015,1,4,17,45.0,50.0,25.0,29.0
2015-01-04 19:00:00,2015,1,4,19,21.0,50.0,30.0,30.0
2015-01-04 20:00:00,2015,1,4,20,13.0,50.0,29.0,30.0
2015-01-04 21:00:00,2015,1,4,21,13.0,50.0,29.0,30.0
