date,hour,O3,O3_24h,O3_8h,O3_8h_24h
20150102,0,40.0,103.0,43.0,86.0
20150102,1,11.0,47.0,11.0,36.0
20150102,2,10.0,47.0,11.0,36.0
20150102,3,13.0,47.0,11.0,36.0
20150102,4,15.0,47.0,11.0,36.0
20150102,5,12.0,47.0,11.0,36.0
20150102,6,14.0,47.0,11.0,36.0
20150102,7,13.0,47.0,12.0,36.0
20150102,8,14.0,47.0,12.0,36.0
20150102,9,16.0,47.0,13.0,36.0
20150102,10,18.0,47.0,14.0,36.0
20150102,11,24.0,46.0,16.0,36.0
20150102,12,29.0,47.0,17.0,36.0
20150102,13,33.0,47.0,20.0,36.0
20150102,14,35.0,46.0,23.0,36.0
20150102,15,33.0,45.0,25.0,36.0
20150102,16,34.0,40.0,28.0,36.0
20150102,17,31.0,36.0,30.0,36.0
20150102,18,24.0,36.0,30.0,34.0
20150102,19,22.0,36.0,30.0,33.0
20150102,20,21.0,36.0,29.0,31.0
20150102,21,17.0,36.0,27.0,31.0
20150102,22,12.0,36.0,24.0,31.0
20150102,23,11.0,36.0,21.0,31.0
20150103,0,10.0,36.0,19.0,31.0
20150103,1,10.0,36.0,16.0,31.0
20150103,2,10.0,36.0,14.0,31.0
20150103,3,10.0,36.0,13.0,31.0
20150103,4,10.0,36.0,12.0,31.0
20150103,5,10.0,36.0,11.0,31.0
20150103,6,10.0,36.0,10.0,31.0
20150103,7,11.0,36.0,10.0,31.0
20150103,8,12.0,36.0,10.0,31.0
20150103,9,12.0,37.0,11.0,32.0
20150103,10,14.0,37.0,12.0,32.0
20150103,11,17.0,37.0,12.0,32.0
20150103,12,21.0,36.0,13.0,31.0
20150103,13,26.0,36.0,15.0,31.0
20150103,14,29.0,35.0,18.0,30.0
20150103,15,34.0,39.0,20.0,31.0
20150103,16,32.0,39.0,23.0,31.0
20150103,17,22.0,36.0,25.0,31.0
20150103,18,15.0,36.0,25.0,31.0
20150103,19,11.0,36.0,24.0,30.0
20150103,20,11.0,36.0,22.0,29.0
20150103,21,11.0,36.0,21.0,27.0
20150103,22,10.0,36.0,18.0,26.0
20150103,23,10.0,36.0,15.0,25.0
20150104,0,10.0,36.0,13.0,25.0
20150104,12,12.0,36.0,12.0,25.0
20150104,13,15.0,36.0,11.0,25.0
20150104,14,23.0,36.0,13.0,25.0
20150104,15,38.0,44.0,16.0,25.0
20150104,16,48.0,49.0,21.0,27.0
20150104,17,45.0,50.0,25.0,29.0
20150104,19,21.0,50.0,30.0,30.0
20150104,20,13.0,50.0,29.0,30.0
20150104,21,13.0,50.0,29.0,30.0
20150104,22,12.0,50.0,28.0,30.0
20150104,23,12.0,50.0,24.0,30.0
20150105,0,11.0,50.0,20.0,30.0
20150105,1,11.0,50.0,16.0,30.0
20150105,2,11.0,50.0,13.0,30.0
20150105,3,13.0,50.0,12.0,30.0
20150105,4,12.0,50.0,12.0,30.0
20150105,5,11.0,50.0,12.0,30.0
20150105,6,11.0,50.0,11.0,30.0
20150105,7,10.0,50.0,11.0,30.0
20150105,8,10.0,50.0,11.0,30.0
20150105,9,10.0,50.0,11.0,30.0
20150105,10,14.0,50.0,11.0,30.0
20150105,11,16.0,50.0,12.0,30.0
20150105,12,17.0,50.0,12.0,30.0
20150105,13,16.0,50.0,13.0,30.0
20150105,14,17.0,50.0,14.0,30.0
20150105,17,15.0,35.0,16.0,31.0
20150105,18,16.0,25.0,16.0,32.0
20150105,19,17.0,22.0,16.0,32.0
20150105,20,17.0,22.0,16.0,32.0
20150105,21,17.0,22.0,17.0,31.0
20150105,22,21.0,24.0,17.0,28.0
20150105,23,24.0,26.0,18.0,25.0
20150106,0,23.0,26.0,19.0,22.0
20150106,1,25.0,27.0,20.0,21.0
20150106,2,30.0,31.0,22.0,22.0
20150106,3,34.0,35.0,24.0,24.0
20150106,4,37.0,38.0,27.0,27.0
20150106,5,40.0,41.0,29.0,30.0
20150106,6,40.0,42.0,32.0,32.0
20150106,7,39.0,42.0,34.0,34.0
20150106,8,35.0,42.0,35.0,36.0
20150106,9,35.0,42.0,36.0,37.0
20150106,11,42.0,45.0,38.0,39.0
20150106,13,43.0,50.0,39.0,41.0
20150106,14,45.0,52.0,40.0,42.0
20150106,15,41.0,52.0,40.0,42.0
20150106,16,37.0,52.0,40.0,43.0
20150106,17,31.0,52.0,40.0,43.0
20150106,18,20.0,52.0,38.0,43.0
20150106,19,18.0,52.0,35.0,43.0
20150106,20,19.0,52.0,32.0,43.0
20150106,21,18.0,52.0,29.0,43.0
20150106,22,16.0,52.0,25.0,43.0
20150106,23,16.0,52.0,22.0,43.0
20150107,0,17.0,52.0,19.0,43.0
20150107,1,18.0,52.0,18.0,43.0
20150107,2,17.0,52.0,17.0,43.0
20150107,3,18.0,52.0,17.0,43.0
20150107,4,17.0,52.0,17.0,43.0
20150107,5,17.0,52.0,17.0,43.0
20150107,6,17.0,52.0,17.0,43.0
